"Regionskode";"Region";"Dato";"Bekræftede tilfælde i alt";"timestamp_2025-10-21T10:00:08.562"
1085;Sjælland;2025-08-20;3;
1083;Syddanmark;2025-08-20;5;
1084;Hovedstaden;2025-08-21;14;
1081;Nordjylland;2025-08-21;5;
1085;Sjælland;2025-08-21;3;
1083;Syddanmark;2025-08-21;2;
1084;Hovedstaden;2025-08-22;17;
1082;Midtjylland;2025-08-22;4;
1081;Nordjylland;2025-08-22;5;
1085;Sjælland;2025-08-22;5;
1083;Syddanmark;2025-08-22;6;
1084;Hovedstaden;2025-08-23;5;
1085;Sjælland;2025-08-23;1;
1084;Hovedstaden;2025-08-24;2;
1081;Nordjylland;2025-08-24;2;
1083;Syddanmark;2025-08-24;4;
1084;Hovedstaden;2025-08-25;23;
1082;Midtjylland;2025-08-25;1;
1081;Nordjylland;2025-08-25;3;
1085;Sjælland;2025-08-25;2;
1083;Syddanmark;2025-08-25;5;
1084;Hovedstaden;2025-08-26;14;
1082;Midtjylland;2025-08-26;2;
1081;Nordjylland;2025-08-26;2;
1085;Sjælland;2025-08-26;3;
1083;Syddanmark;2025-08-26;2;
1084;Hovedstaden;2025-08-27;21;
1082;Midtjylland;2025-08-27;1;
1085;Sjælland;2025-08-27;2;
1083;Syddanmark;2025-08-27;6;
