"Regionskode";"Region";"Dato";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
1082;Midtjylland;2021-11-02;3;
1081;Nordjylland;2021-11-02;2;
1085;Sjælland;2021-11-02;9;
1083;Syddanmark;2021-11-02;9;
1084;Hovedstaden;2021-11-03;17;
1082;Midtjylland;2021-11-03;3;
1081;Nordjylland;2021-11-03;5;
1085;Sjælland;2021-11-03;2;
1083;Syddanmark;2021-11-03;9;
1084;Hovedstaden;2021-11-04;27;
1082;Midtjylland;2021-11-04;2;
1081;Nordjylland;2021-11-04;2;
1085;Sjælland;2021-11-04;10;
1083;Syddanmark;2021-11-04;10;
1084;Hovedstaden;2021-11-05;19;
1082;Midtjylland;2021-11-05;5;
1081;Nordjylland;2021-11-05;4;
1085;Sjælland;2021-11-05;4;
1083;Syddanmark;2021-11-05;4;
1084;Hovedstaden;2021-11-06;13;
1082;Midtjylland;2021-11-06;2;
1081;Nordjylland;2021-11-06;1;
1085;Sjælland;2021-11-06;5;
1083;Syddanmark;2021-11-06;8;
1084;Hovedstaden;2021-11-07;27;
1082;Midtjylland;2021-11-07;1;
1081;Nordjylland;2021-11-07;3;
1085;Sjælland;2021-11-07;7;
1083;Syddanmark;2021-11-07;11;
1084;Hovedstaden;2021-11-08;30;
1082;Midtjylland;2021-11-08;7;
1081;Nordjylland;2021-11-08;4;
1085;Sjælland;2021-11-08;4;
1083;Syddanmark;2021-11-08;8;
1084;Hovedstaden;2021-11-09;14;
1082;Midtjylland;2021-11-09;1;
1081;Nordjylland;2021-11-09;3;
1085;Sjælland;2021-11-09;4;
1083;Syddanmark;2021-11-09;12;
1084;Hovedstaden;2021-11-10;20;
1082;Midtjylland;2021-11-10;5;
1081;Nordjylland;2021-11-10;4;
1085;Sjælland;2021-11-10;14;
1083;Syddanmark;2021-11-10;7;
1084;Hovedstaden;2021-11-11;20;
1082;Midtjylland;2021-11-11;4;
1081;Nordjylland;2021-11-11;3;
1085;Sjælland;2021-11-11;11;
1083;Syddanmark;2021-11-11;16;
1084;Hovedstaden;2021-11-12;25;
1082;Midtjylland;2021-11-12;2;
1081;Nordjylland;2021-11-12;5;
1085;Sjælland;2021-11-12;12;
1083;Syddanmark;2021-11-12;16;
1084;Hovedstaden;2021-11-13;25;
1082;Midtjylland;2021-11-13;5;
1081;Nordjylland;2021-11-13;2;
1085;Sjælland;2021-11-13;11;
1083;Syddanmark;2021-11-13;7;
1084;Hovedstaden;2021-11-14;19;
1082;Midtjylland;2021-11-14;3;
1081;Nordjylland;2021-11-14;6;
1085;Sjælland;2021-11-14;15;
1083;Syddanmark;2021-11-14;9;
1084;Hovedstaden;2021-11-15;28;
1082;Midtjylland;2021-11-15;11;
1081;Nordjylland;2021-11-15;3;
1085;Sjælland;2021-11-15;12;
1083;Syddanmark;2021-11-15;15;
1084;Hovedstaden;2021-11-16;24;
1082;Midtjylland;2021-11-16;11;
1081;Nordjylland;2021-11-16;5;
1085;Sjælland;2021-11-16;10;
1083;Syddanmark;2021-11-16;14;
1084;Hovedstaden;2021-11-17;21;
1082;Midtjylland;2021-11-17;7;
