"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-10-21T10:00:08.562"
2022-U39;M;733;136;9,5;
2022-U40;K;1125;172;8,6;
2022-U40;M;761;149;10,4;
2022-U41;K;1154;160;10,0;
2022-U41;M;755;144;12,7;
2022-U42;K;949;136;8,2;
2022-U42;M;663;121;10,7;
2022-U43;K;946;108;6,3;
2022-U43;M;617;95;8,2;
2022-U44;K;788;74;4,8;
2022-U44;M;526;67;5,1;
2022-U45;K;814;79;4,4;
2022-U45;M;533;64;4,1;
2022-U46;K;731;67;3,1;
2022-U46;M;511;60;4,1;
2022-U47;K;761;85;3,9;
2022-U47;M;503;68;4,8;
2022-U48;K;884;133;6,3;
2022-U48;M;620;112;7,0;
2022-U49;K;994;158;7,7;
2022-U49;M;672;131;7,9;
2022-U50;K;803;132;9,4;
2022-U50;M;534;105;10,9;
2022-U51;K;1001;170;11,8;
2022-U51;M;679;143;13,4;
2022-U52;K;784;126;11,6;
2022-U52;M;563;102;12,7;
2023-U01;K;834;86;9,4;
2023-U01;M;544;67;9,8;
2023-U02;K;536;38;5,4;
2023-U02;M;349;32;6,5;
2023-U03;K;411;25;2,7;
2023-U03;M;255;19;4,3;
2023-U04;K;352;21;2,0;
2023-U04;M;227;16;2,3;
2023-U05;K;304;19;2,7;
2023-U05;M;220;15;2,8;
2023-U06;K;248;18;2,3;
2023-U06;M;214;15;3,2;
2023-U07;K;186;15;2,5;
2023-U07;M;179;14;3,2;
2023-U08;K;163;14;2,5;
2023-U08;M;160;13;3,0;
2023-U09;K;149;13;2,9;
2023-U09;M;144;12;3,6;
2023-U10;K;140;16;3,3;
2023-U10;M;140;14;4,2;
2023-U11;K;155;24;5,7;
2023-U11;M;148;21;7,2;
2023-U12;K;157;29;7,1;
2023-U12;M;156;25;7,8;
2023-U13;K;138;21;6,3;
2023-U13;M;133;20;7,1;
2023-U14;K;86;14;7,0;
2023-U14;M;85;12;7,4;
2023-U15;K;96;14;6,5;
2023-U15;M;94;13;7,8;
2023-U16;K;88;10;4,8;
2023-U16;M;90;12;7,1;
2023-U17;K;77;9;4,8;
2023-U17;M;74;9;5,4;
2023-U18;K;71;9;4,5;
2023-U18;M;71;8;5,2;
2023-U19;K;74;10;5,0;
2023-U19;M;74;9;5,5;
2023-U20;K;61;7;3,6;
2023-U20;M;62;6;3,5;
2023-U21;K;64;6;2,1;
2023-U21;M;63;5;2,4;
2023-U22;K;53;3;1,6;
2023-U22;M;54;3;2,0;
2023-U23;K;52;3;1,2;
2023-U23;M;52;3;1,7;
2023-U24;K;49;2;0,8;
2023-U24;M;50;2;1,5;
2023-U25;K;46;2;0,8;
2023-U25;M;47;2;1,0;
2023-U26;K;41;1;0,6;
2023-U26;M;42;1;0,5;
2023-U27;K;40;2;0,7;
2023-U27;M;39;1;0,7;
2023-U28;K;37;1;0,6;
2023-U28;M;38;2;0,9;
2023-U29;K;33;1;0,3;
2023-U29;M;34;1;0,7;
2023-U30;K;34;2;0,5;
2023-U30;M;36;2;1,1;
2023-U31;K;36;3;1,0;
2023-U31;M;36;2;1,1;
2023-U32;K;37;4;1,4;
2023-U32;M;38;4;1,8;
2023-U33;K;49;6;2,0;
2023-U33;M;46;6;2,6;
2023-U34;K;52;6;2,0;
2023-U34;M;51;7;3,0;
2023-U35;K;59;7;2,5;
2023-U35;M;52;5;2,9;
2023-U36;K;68;7;2,2;
2023-U36;M;61;8;4,1;
2023-U37;K;66;7;2,1;
2023-U37;M;63;7;3,4;
2023-U38;K;68;6;1,8;
2023-U38;M;61;5;2,5;
2023-U39;K;69;7;2,0;
2023-U39;M;63;7;3,1;
2023-U40;K;77;9;3,4;
2023-U40;M;70;8;4,0;
2023-U41;K;81;10;4,4;
2023-U41;M;73;8;4,2;
2023-U42;K;77;11;4,8;
2023-U42;M;77;9;5,8;
2023-U43;K;95;14;5,6;
2023-U43;M;84;14;7,0;
2023-U44;K;100;17;7,2;
2023-U44;M;88;14;7,8;
2023-U45;K;107;18;6,5;
2023-U45;M;100;18;7,9;
2023-U46;K;110;22;7,8;
2023-U46;M;103;18;8,6;
2023-U47;K;139;30;10,1;
2023-U47;M;120;25;11,1;
2023-U48;K;153;38;10,3;
2023-U48;M;128;31;11,5;
2023-U49;K;180;49;13,3;
2023-U49;M;160;42;16,4;
2023-U50;K;196;47;13,7;
2023-U50;M;171;43;17,3;
2023-U51;K;192;35;11,3;
2023-U51;M;172;30;13,6;
2023-U52;K;130;17;8,9;
2023-U52;M;124;17;10,4;
2024-U01;K;143;12;5,4;
2024-U01;M;126;12;6,6;
2024-U02;K;125;7;2,5;
2024-U02;M;116;6;2,8;
2024-U03;K;122;5;2,4;
2024-U03;M;112;5;2,6;
2024-U04;K;127;4;1,6;
2024-U04;M;115;3;1,9;
2024-U05;K;121;3;1,0;
